date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:37	7453/7453	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:42%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/073-alarm.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/073-alarm.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:37	6776/6776	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:45%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/081-headset.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/081-headset.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:37	3434/3434	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:21%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/010-page.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/010-page.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:38	6926/6926	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:42%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/074-message.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/074-message.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:38	7777/7777	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:44%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/079-avatar.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/079-avatar.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:38	7059/7059	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:34%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/050-sound.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/050-sound.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:38	4304/4304	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:17:03%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/136-email.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/136-email.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:39	20255/20255	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:19%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/002-certification.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/002-certification.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:39	6653/6653	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:09%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/uk.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/uk.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:39	9517/9517	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:09%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/usa.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/usa.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
